"","district","name","party","hpvi","rpvi","ave","pres","gov","abs","chamber","hpvi_color"
"1","01A","Dan Fabian","R","R+12",-11.5740159207583,0.384259840792417,0.300126798610728,0.468392882974107,11.5740159207583,"House","0"
"2","01B","Debra Kiel","R","R+8",-8.36825013727991,0.416317498627201,0.33882720333102,0.493807793923382,8.36825013727991,"House","0"
"3","02A","Matt Grossell","R","R+7",-7.4209757103092,0.425790242896908,0.358763985082579,0.492816500711238,7.4209757103092,"House","0"
"4","02B","Steve Green","R","R+12",-12.4620241608188,0.375379758391812,0.315303781938443,0.435455734845181,12.4620241608188,"House","0"
"5","03A","Rob Ecklund","DFL","D+4",3.57129576357577,0.535712957635758,0.464895818295558,0.606530096975957,3.57129576357577,"House","1"
"6","03B","Mary Murphy","DFL","D+8",7.80792896474295,0.578079289647429,0.540644135932314,0.615514443362545,7.80792896474295,"House","1"
"7","04A","Ben Lien","DFL","D+6",6.35220766658533,0.563522076665853,0.540043413686736,0.58700073964497,6.35220766658533,"House","1"
"8","04B","Paul Marquart","DFL","R+5",-5.20343181442504,0.44796568185575,0.3824343376325,0.513497026078999,5.20343181442504,"House","0"
"9","05A","Matt Bliss","R","R+2",-1.80203972638038,0.481979602736196,0.432918628110289,0.531040577362103,1.80203972638038,"House","0"
"10","05B","Sandy Layman","R","R+4",-3.77132615733879,0.462286738426612,0.386681951851667,0.537891525001557,3.77132615733879,"House","0"
"11","06A","Julie Sandstede","DFL","D+8",7.67104891794204,0.57671048917942,0.482897384305835,0.670523594053006,7.67104891794204,"House","1"
"12","06B","Jason Metsa","DFL","D+6",6.25076193573612,0.562507619357361,0.485361793792226,0.639653444922497,6.25076193573612,"House","1"
"13","07A","Jennifer Schultz","DFL","D+19",19.274575549717,0.69274575549717,0.687202241943017,0.698289269051322,19.274575549717,"House","1"
"14","07B","Liz Olson","DFL","D+18",17.6866059140073,0.676866059140073,0.643697570541453,0.710034547738693,17.6866059140073,"House","1"
"15","08A","Bud Nornes","R","R+13",-12.9599555844749,0.370400444155251,0.330411457584902,0.4103894307256,12.9599555844749,"House","0"
"16","08B","Mary Franson","R","R+14",-14.4921322718499,0.355078677281501,0.29686198278256,0.413295371780441,14.4921322718499,"House","0"
"17","09A","John Poston","R","R+18",-17.6150421971341,0.323849578028659,0.249160369437448,0.39853878661987,17.6150421971341,"House","0"
